group_var,group,n,min,q1,median,q3,max,mean
india_rural_urban,metro,81,0.0,5.0,7.0,10.0,10.0,7.061728395061729
india_rural_urban,rural,69,0.0,4.0,6.0,10.0,10.0,6.36231884057971
india_rural_urban,urban,60,0.0,6.0,8.0,10.0,10.0,7.016666666666667
role,Admin,20,0.0,3.0,5.5,8.25,10.0,5.75
role,Comms,9,3.0,5.0,7.0,9.0,10.0,6.666666666666667
role,Fundraiser,10,5.0,7.0,8.5,10.0,10.0,8.2
role,Governance,22,0.0,3.25,5.5,9.5,10.0,5.590909090909091
role,Individual,5,5.0,6.0,6.0,8.0,10.0,7.0
role,Leader,115,0.0,5.0,8.0,10.0,10.0,7.121739130434783
role,MERL,6,1.0,4.25,6.5,8.0,10.0,6.0
role,Other,4,7.0,7.75,9.0,10.0,10.0,8.75
role,Programs,17,1.0,5.0,7.0,8.0,10.0,6.470588235294118
role,Tech,3,6.0,6.0,6.0,8.0,10.0,7.333333333333333
org_size,0-5,46,0.0,4.25,6.5,8.0,10.0,6.108695652173913
org_size,121+,20,0.0,5.0,9.0,10.0,10.0,7.35
org_size,16-30,42,0.0,5.0,7.0,9.75,10.0,6.738095238095238
org_size,31-60,18,5.0,7.0,9.0,10.0,10.0,8.38888888888889
org_size,6-15,71,0.0,5.0,7.0,10.0,10.0,6.887323943661972
org_size,61-120,14,2.0,5.0,6.5,8.0,10.0,6.142857142857143
