,Profile,Disability,count
0,Acting for the PWD with Assumed Low Legal Capacity,Cerebral Palsy,1
1,Acting for the PWD with Assumed Low Legal Capacity,Mental Illness,1
2,Acting on behalf of the PwD with Legal Capacity,Locomotor Disability,5
3,Acting on behalf of the PwD with Legal Capacity,Unsure,1
4,Acting on behalf of the PwD with Legal Capacity,ASD,1
5,Caregiver (Self Motivated),Intellectual Disability,5
6,Caregiver (Self Motivated),Locomotor Disability,5
7,Caregiver (Self Motivated),Multiple Disabilities including DeafBlindness,3
8,Caregiver (Self Motivated),Unsure,1
9,Caregiver (Self Motivated),Thalassemia,1
10,Caregiver (Self Motivated),Cerebral Palsy,1
11,Parent of Child with Disability,Locomotor Disability,3
12,Parent of Child with Disability,ASD,2
13,Parent of Child with Disability,Unsure,1
14,Parent of Child with Disability,Specific Learning Disabilities,1
15,Parent of Child with Disability,Muscular Dystrophy,1
16,Parent of Child with Disability,Multiple Disabilities including DeafBlindness,1
17,Parent of Child with Disability,Intellectual Disability,1
18,Parent of Child with Disability,Hearing Impairment (Deaf and Hard of Hearing),1
19,Parent of an Adult Child with Disability,Hearing Impairment (Deaf and Hard of Hearing),3
20,Parent of an Adult Child with Disability,Cerebral Palsy,2
21,Parent of an Adult Child with Disability,Locomotor Disability,2
22,Parent of an Adult Child with Disability,Blindness,1
23,Parent of an Adult Child with Disability,ASD,1
24,Person with Disability,Locomotor Disability,164
25,Person with Disability,Low Vision,47
26,Person with Disability,Hearing Impairment (Deaf and Hard of Hearing),29
27,Person with Disability,Blindness,17
28,Person with Disability,Mental Illness,9
29,Person with Disability,Multiple Disabilities including DeafBlindness,8
30,Person with Disability,Unsure,7
31,Person with Disability,Intellectual Disability,6
32,Person with Disability,For all Persons with Disabilities,5
33,Person with Disability,Cerebral Palsy,4
34,Person with Disability,Specific Learning Disabilities,1
35,Person with Disability,Muscular Dystrophy,1
36,Person with Disability,Hemophilia,1
37,Person with Disability,Speech and Language Disability,1
38,Professionals/Activists,For all Persons with Disabilities,9
39,Professionals/Activists,Hearing Impairment (Deaf and Hard of Hearing),1
40,Professionals/Activists,Locomotor Disability,1
41,Professionals/Activists,Low Vision,1
42,Unsure,For all Persons with Disabilities,2
43,Unsure,Unsure,1
