,Profile,Category,count
0,Acting for the PWD with Assumed Low Legal Capacity,Denial of Rights/Entitlements,2
1,Acting on behalf of the PwD with Legal Capacity,Employment/Livelihood,3
2,Acting on behalf of the PwD with Legal Capacity,Denial of Rights/Entitlements,2
3,Acting on behalf of the PwD with Legal Capacity,Social Security,2
4,Caregiver (Self Motivated),Employment/Livelihood,14
5,Caregiver (Self Motivated),Financial Services,1
6,Caregiver (Self Motivated),Education,1
7,Parent of Child with Disability,Education,6
8,Parent of Child with Disability,Employment/Livelihood,3
9,Parent of Child with Disability,Denial of Rights/Entitlements,2
10,Parent of an Adult Child with Disability,Employment/Livelihood,6
11,Parent of an Adult Child with Disability,Financial Services,1
12,Parent of an Adult Child with Disability,Education,1
13,Parent of an Adult Child with Disability,Safety and Wellbeing,1
14,Person with Disability,Employment/Livelihood,204
15,Person with Disability,Denial of Rights/Entitlements,60
16,Person with Disability,Education,18
17,Person with Disability,Social Security,9
18,Person with Disability,Financial Services,7
19,Person with Disability,Health,1
20,Person with Disability,Safety and Wellbeing,1
21,Professionals/Activists,Employment/Livelihood,6
22,Professionals/Activists,Denial of Rights/Entitlements,4
23,Professionals/Activists,Education,2
24,Unsure,Employment/Livelihood,2
25,Unsure,Denial of Rights/Entitlements,1
