,State_UT,Disability,count
0,Andhra Pradesh,Locomotor Disability,5
1,Andhra Pradesh,Low Vision,2
2,Andhra Pradesh,For all Persons with Disabilities,1
3,Andhra Pradesh,Hearing Impairment (Deaf and Hard of Hearing),1
4,Assam,Unsure,1
5,Assam,Thalassemia,1
6,Assam,Low Vision,1
7,Bihar,Locomotor Disability,9
8,Bihar,Low Vision,4
9,Bihar,For all Persons with Disabilities,3
10,Bihar,Multiple Disabilities including DeafBlindness,2
11,Bihar,Intellectual Disability,2
12,Bihar,Hearing Impairment (Deaf and Hard of Hearing),2
13,Bihar,Blindness,1
14,Chandigarh,Locomotor Disability,4
15,Chandigarh,Intellectual Disability,1
16,Chhatisgarh,Locomotor Disability,4
17,Chhatisgarh,Low Vision,2
18,Delhi,Locomotor Disability,23
19,Delhi,Low Vision,9
20,Delhi,Hearing Impairment (Deaf and Hard of Hearing),6
21,Delhi,Blindness,4
22,Delhi,Multiple Disabilities including DeafBlindness,3
23,Delhi,Intellectual Disability,2
24,Delhi,Unsure,2
25,Delhi,ASD,2
26,Delhi,Mental Illness,1
27,Delhi,Specific Learning Disabilities,1
28,Delhi,Muscular Dystrophy,1
29,Delhi,For all Persons with Disabilities,1
30,Delhi,Cerebral Palsy,1
31,Goa,Locomotor Disability,2
32,Gujarat,Locomotor Disability,7
33,Gujarat,Low Vision,1
34,Gujarat,Hearing Impairment (Deaf and Hard of Hearing),1
35,Gujarat,Blindness,1
36,Haryana,Locomotor Disability,15
37,Haryana,Mental Illness,2
38,Haryana,Blindness,2
39,Haryana,For all Persons with Disabilities,2
40,Haryana,Low Vision,2
41,Himachal Pradesh,Locomotor Disability,2
42,Himachal Pradesh,Low Vision,1
43,Jharkhand,Locomotor Disability,2
44,Jharkhand,Hearing Impairment (Deaf and Hard of Hearing),1
45,Karnataka,Locomotor Disability,5
46,Karnataka,Blindness,2
47,Karnataka,Hearing Impairment (Deaf and Hard of Hearing),1
48,Karnataka,Low Vision,1
49,Kerala,Locomotor Disability,2
50,Kerala,Low Vision,2
51,Kerala,Mental Illness,2
52,Kerala,For all Persons with Disabilities,1
53,Madhya Pradesh,Locomotor Disability,9
54,Madhya Pradesh,Low Vision,2
55,Madhya Pradesh,Speech and Language Disability,1
56,Madhya Pradesh,Blindness,1
57,Madhya Pradesh,Hearing Impairment (Deaf and Hard of Hearing),1
58,Madhya Pradesh,Intellectual Disability,1
59,Maharashtra,Locomotor Disability,11
60,Maharashtra,Low Vision,5
61,Maharashtra,Multiple Disabilities including DeafBlindness,4
62,Maharashtra,Unsure,2
63,Maharashtra,Hearing Impairment (Deaf and Hard of Hearing),1
64,Maharashtra,Intellectual Disability,1
65,Manipur,Multiple Disabilities including DeafBlindness,1
66,Meghalaya,Hearing Impairment (Deaf and Hard of Hearing),2
67,Not Specified,Locomotor Disability,4
68,Not Specified,Multiple Disabilities including DeafBlindness,2
69,Not Specified,Intellectual Disability,1
70,Not Specified,Muscular Dystrophy,1
71,Not Specified,Unsure,1
72,Odisha,Locomotor Disability,3
73,Odisha,Hearing Impairment (Deaf and Hard of Hearing),2
74,Odisha,Blindness,1
75,Odisha,Hemophilia,1
76,Punjab,Locomotor Disability,5
77,Punjab,Cerebral Palsy,3
78,Punjab,Mental Illness,1
79,Punjab,Low Vision,1
80,Rajasthan,Locomotor Disability,11
81,Rajasthan,Low Vision,2
82,Rajasthan,Hearing Impairment (Deaf and Hard of Hearing),2
83,Rajasthan,For all Persons with Disabilities,2
84,Rajasthan,Blindness,1
85,Tamil Nadu,Locomotor Disability,12
86,Tamil Nadu,Hearing Impairment (Deaf and Hard of Hearing),5
87,Tamil Nadu,Cerebral Palsy,2
88,Tamil Nadu,For all Persons with Disabilities,1
89,Tamil Nadu,ASD,1
90,Tamil Nadu,Specific Learning Disabilities,1
91,Tamil Nadu,Unsure,1
92,Telangana,Hearing Impairment (Deaf and Hard of Hearing),5
93,Telangana,Locomotor Disability,3
94,Telangana,For all Persons with Disabilities,1
95,Telangana,Low Vision,1
96,Uttar Pradesh,Locomotor Disability,26
97,Uttar Pradesh,Low Vision,10
98,Uttar Pradesh,Unsure,3
99,Uttar Pradesh,For all Persons with Disabilities,3
100,Uttar Pradesh,Hearing Impairment (Deaf and Hard of Hearing),3
101,Uttar Pradesh,Blindness,2
102,Uttar Pradesh,Mental Illness,2
103,Uttar Pradesh,Intellectual Disability,2
104,Uttar Pradesh,Cerebral Palsy,1
105,Uttarakhand,Locomotor Disability,3
106,Uttarakhand,Intellectual Disability,2
107,Uttarakhand,Cerebral Palsy,1
108,Uttarakhand,Hearing Impairment (Deaf and Hard of Hearing),1
109,Uttarakhand,For all Persons with Disabilities,1
110,Uttarakhand,ASD,1
111,West Bengal,Locomotor Disability,13
112,West Bengal,Blindness,3
113,West Bengal,Low Vision,2
114,West Bengal,Mental Illness,2
115,West Bengal,Unsure,1
