"country","region","development","entity_type","coverage_pct","ethics_pct","tech_pct","framing_index","sim_to_EU","total_tokens","ai_tokens","ethics_governance","ml_architectures","ml_methods","ai_systems_types","ai_applications"
"Hong Kong","Asia-Pacific","Global North","National",8.87,58.2,41.8,58.2,0.29908201505338,913,81,0.32,0.19,0.04,0.45,0
"Singapore","Asia-Pacific","Global North","National",8.24,44.3,55.7,44.3,0.27485601482812,1117,92,0.238938053097345,0.185840707964602,0.0619469026548673,0.451327433628319,0.0619469026548673
"India","Asia-Pacific","Global South","National",8.11,74.1,25.9,74.1,0.20784177482353,444,36,0.555555555555556,0,0.166666666666667,0.25,0.0277777777777778
"China","Asia-Pacific","Emerging","National",7.59,13.9,86.1,13.9,0.24769843186316,1317,100,0.0714285714285714,0.292857142857143,0.0928571428571429,0.485714285714286,0.0571428571428571
"Spain","Europe","Global North","National",7.32,66.7,33.3,66.7,0.30988620563343,1188,87,0.197802197802198,0.010989010989011,0.010989010989011,0.703296703296703,0.0769230769230769
"Council of Europe","Europe","Global North","Multilateral",6.53,100,0,100,0.2431861683647,689,45,0.511111111111111,0,0,0.488888888888889,0
"Switzerland","Europe","Global North","National",6.32,43.8,56.2,43.8,0.27154130680052,1029,65,0.104477611940299,0.0447761194029851,0.0298507462686567,0.761194029850746,0.0597014925373134
"Kenya","Africa","Global South","National",6.15,44,56,44,0.25320856872029,732,45,0.244444444444444,0,0.0666666666666667,0.444444444444444,0.244444444444444
"OECD","Global","Global North","Multilateral",5.91,49.1,50.9,49.1,0.24350785083735,1083,64,0.430769230769231,0.0153846153846154,0.0461538461538462,0.123076923076923,0.384615384615385
"South Africa","Africa","Global South","National",5.79,40,60,40,0.18231011553306,553,32,0.228571428571429,0.0285714285714286,0.2,0.428571428571429,0.114285714285714
"Nigeria","Africa","Global South","National",5.28,95.2,4.8,95.2,0.31339677698484,682,36,0.555555555555556,0,0,0.416666666666667,0.0277777777777778
"United States","Americas","Global North","National",4.92,68.5,31.5,68.5,0.32089890454577,2807,138,0.428571428571429,0.0816326530612245,0.0476190476190476,0.374149659863946,0.0680272108843537
"Colombia","Americas","Global South","National",4.88,82.2,17.8,82.2,0.32456572350035,1066,52,0.69811320754717,0.0188679245283019,0.0377358490566038,0.150943396226415,0.0943396226415094
"Australia","Asia-Pacific","Global North","National",4.78,86.5,13.5,86.5,0.30042379013568,1130,54,0.775862068965517,0.0689655172413793,0.0344827586206897,0.103448275862069,0.0172413793103448
"African Union","Africa","Global South","Multilateral",4.67,97.9,2.1,97.9,0.25608925625555,1157,54,0.851851851851852,0,0,0.12962962962963,0.0185185185185185
"Saudi Arabia","Middle East","Emerging","National",4.66,68.2,31.8,68.2,0.28311535548121,601,28,0.483870967741935,0.0967741935483871,0.0967741935483871,0.290322580645161,0.032258064516129
"United Nations","Global","Global North","Multilateral",4.65,90.3,9.7,90.3,0.20348004566425,1226,57,0.491228070175439,0.0175438596491228,0.0350877192982456,0.456140350877193,0
"Israel","Middle East","Global North","National",4.45,78.9,21.1,78.9,0.2870016285546,944,42,0.697674418604651,0,0.116279069767442,0.116279069767442,0.0697674418604651
"Italy","Europe","Global North","National",4.19,60,40,60,0.32631244769287,906,38,0.315789473684211,0,0.184210526315789,0.473684210526316,0.0263157894736842
"Turkey","Europe/Asia","Emerging","National",4.18,75,25,75,0.28054381955913,1029,43,0.613636363636364,0.0227272727272727,0.0681818181818182,0.181818181818182,0.113636363636364
"Taiwan","Asia-Pacific","Global North","National",4.01,61.9,38.1,61.9,0.33193528821124,673,27,0.433333333333333,0.0333333333333333,0.0666666666666667,0.3,0.166666666666667
"France","Europe","Global North","National",3.72,26.3,73.7,26.3,0.2412023608281,969,36,0.125,0.125,0.2,0.525,0.025
"Canada","Americas","Global North","National",3.26,78.6,21.4,78.6,0.24937208816272,1348,44,0.5,0,0.113636363636364,0.363636363636364,0.0227272727272727
"G7","Global","Global North","Multilateral",3.26,72.2,27.8,72.2,0.24431713943227,1104,36,0.666666666666667,0.0769230769230769,0.153846153846154,0.0769230769230769,0.0256410256410256
"South Korea","Asia-Pacific","Global North","National",3.26,44,56,44,0.33286362075387,952,31,0.282051282051282,0.230769230769231,0.0512820512820513,0.358974358974359,0.0769230769230769
"United Kingdom","Europe","Global North","National",3.07,70.3,29.7,70.3,0.32437888642688,1663,51,0.481481481481481,0.0555555555555556,0.0740740740740741,0.314814814814815,0.0740740740740741
"United Arab Emirates","Middle East","Emerging","National",2.94,52.4,47.6,52.4,0.22362871037146,1394,41,0.224489795918367,0.0204081632653061,0,0.571428571428571,0.183673469387755
"Brazil","Americas","Global South","National",2.87,68.8,31.2,68.8,0.32469486454103,732,21,0.5,0.0454545454545455,0.0454545454545455,0.272727272727273,0.136363636363636
"Japan","Asia-Pacific","Global North","National",2.55,86.4,13.6,86.4,0.31290344599376,1018,26,0.678571428571429,0.0714285714285714,0.0357142857142857,0.214285714285714,0
"Norway","Europe","Global North","National",2.33,73.3,26.7,73.3,0.2815955343563,729,17,0.578947368421053,0.105263157894737,0.0526315789473684,0.210526315789474,0.0526315789473684
"Czech Republic","Europe","Global North","National",2.06,100,0,100,0.24317863842586,582,12,0.666666666666667,0,0,0.333333333333333,0
"European Union","Europe","Global North","Multilateral",2.02,92.3,7.7,92.3,NA,1289,26,0.923076923076923,0,0.0384615384615385,0,0.0384615384615385
"Germany","Europe","Global North","National",1.52,72.7,27.3,72.7,0.3267179246316,788,12,0.666666666666667,0.166666666666667,0,0.0833333333333333,0.0833333333333333
